nc,risk,sd
10,13.5,8
5,18,6
7,21,10
8,33,12
6,8,6
6,7,4
8,8,6
3,43,10
6,35,12
7,7.5,5
10,15.3,10
4,16,3
6,21,10
5,25,8
5,15,3
7,6,2
11,3.276,2
3,47,12
9,15,8
10,4.95,3
3,25,5
4,17,4
12,4.14414,3
8,19,10
4,20,6
12,36.92052,15
3,28,6
3,61,15
9,17,10
11,5.733,6
7,8,6
7,35,12
7,6.5,3
4,15,2
9,6.5,4
8,5.5,2
11,5.4873,5
12,21.09744,12
10,44.1,15
6,6.5,3
9,6.7,5
8,50,15
8,6.5,3
3,35,8
6,50,15
3,20,2
8,7.8,5
9,49,15
11,22.932,12
5,30,10
4,58,15
7,19,8
12,3.01392,2
11,40.131,15
5,51,15
11,5.3235,4
8,7.5,4
9,28,12
5,38,12
5,17,5
7,7,4
10,6.3,6
3,24,4
12,11.3022,8
11,12.285,8
4,40,12
10,3.6,2
4,26,8
5,16,4
6,6,2
12,5.27436,6
10,5.85,4
10,6.03,5
5,14,2
10,25.2,12
9,5.5,3
12,5.048316,5
8,17,8
6,7.5,5
11,13.923,10
9,7,6
9,4,2
4,18,5
3,22,3
4,28,10
11,4.5045,3
7,50,15
12,12.80916,10
6,19,8
12,4.89762,4
